Datum	11.05.12	
Probenkennz.	PBT wei§	
Geschwindigkeit	20	mm/min
Kraftmaximum	2359,41	N
Probenhšhe a0	3,95	mm
Probenbreite b0	10,4	mm
LŠnge l0	70	mm
Probenhšhe aU NACH ZUGVERSUCH	3,27	mm
Probenbreite bU NACH ZUGVERSUCH	8,55	mm
LŠnge lU NACH ZUGVERSUCH	76,4	mm
Standardweg	Standardkraft	
mm	N	
0,00603522	4,71302	
0,0217462	12,4582	
0,0339658	16,0836	
0,0467987	19,1158	
0,0598204	22,1809	
0,0729836	25,3778	
0,0862884	29,1021	
0,099546	33,2548	
0,112898	37,2428	
0,126297	41,0659	
0,139602	45,1198	
0,152907	49,5362	
0,166258	53,9196	
0,17961	58,2701	
0,192915	62,8843	
0,20622	67,9269	
0,219572	73,0024	
0,232924	78,078	
0,246323	83,582	
0,259581	89,4816	
0,272932	95,3481	
0,28619	101,314	
0,299542	107,444	
0,312941	113,574	
0,326293	119,836	
0,339598	126,098	
0,352903	132,459	
0,366207	138,787	
0,379559	145,214	
0,392911	151,838	
0,406263	158,496	
0,419568	165,252	
0,43292	172,042	
0,446272	178,93	
0,459577	185,72	
0,473731	193,003	
0,486233	199,595	
0,499538	206,648	
0,512937	213,668	
0,526289	220,787	
0,539547	227,939	
0,552946	235,19	
0,566251	242,441	
0,579555	249,724	
0,59286	257,14	
0,607108	265,116	
0,619564	272,103	
0,632963	279,585	
0,646221	287,099	
0,659573	294,581	
0,672925	302,194	
0,686229	309,873	
0,699581	317,618	
0,71298	325,363	
0,726238	333,076	
0,740392	341,348	
0,752847	348,665	
0,766247	356,542	
0,779646	364,452	
0,792998	372,395	
0,806255	380,437	
0,819607	388,347	
0,832912	396,388	
0,846217	404,463	
0,859569	412,505	
0,87377	421,239	
0,886225	428,885	
0,899624	436,96	
0,912976	445,002	
0,926234	453,175	
0,939539	461,283	
0,952891	469,523	
0,966243	477,828	
0,979642	486,134	
0,992946	494,406	
1,0071	503,173	
1,01956	510,984	
1,03291	519,356	
1,04621	527,793	
1,05961	536,164	
1,07292	544,569	
1,08627	552,94	
1,09957	561,278	
1,11297	569,584	
1,12618	577,955	
1,14043	586,788	
1,15293	594,665	
1,16624	603,069	
1,17964	611,606	
1,19294	620,109	
1,20625	628,678	
1,21955	637,115	
1,23286	645,717	
1,24621	654,221	
1,25961	662,625	
1,27291	671,095	
1,28626	679,5	
1,29957	687,838	
1,31287	696,242	
1,32623	704,581	
1,33958	713,051	
1,35293	721,554	
1,36628	730,09	
1,37963	738,627	
1,39374	747,657	
1,4062	755,633	
1,4195	764,202	
1,43285	772,705	
1,44625	781,209	
1,4596	789,679	
1,47291	798,116	
1,48626	806,619	
1,49957	815,057	
1,51292	823,659	
1,52707	832,623	
1,53962	840,599	
1,55297	849,07	
1,56628	857,639	
1,57963	866,109	
1,59293	874,678	
1,60619	883,148	
1,61954	891,717	
1,6329	900,188	
1,64625	908,691	
1,66045	917,656	
1,6729	925,631	
1,68621	934,036	
1,69956	942,572	
1,71291	951,042	
1,72631	959,578	
1,73962	968,082	
1,75292	976,651	
1,76627	985,121	
1,77958	993,624	
1,79373	1002,52	
1,80624	1010,4	
1,81959	1018,87	
1,83299	1027,34	
1,84629	1035,74	
1,85964	1044,22	
1,8729	1052,62	
1,88621	1061,16	
1,89956	1069,63	
1,91291	1078,06	
1,92711	1087,03	
1,93961	1095	
1,95292	1103,47	
1,96622	1111,91	
1,97953	1120,35	
1,99288	1128,69	
2,00628	1136,99	
2,01958	1145,46	
2,03294	1153,87	
2,04624	1162,3	
2,06044	1171,2	
2,07285	1179,08	
2,08625	1187,45	
2,0996	1195,79	
2,11295	1204,19	
2,1263	1212,6	
2,13961	1220,97	
2,15291	1229,28	
2,16627	1237,61	
2,17957	1245,95	
2,19377	1254,79	
2,20623	1262,66	
2,21958	1271	
2,23293	1279,34	
2,24624	1287,71	
2,25954	1295,95	
2,27289	1304,22	
2,28624	1312,49	
2,2996	1320,73	
2,31295	1328,97	
2,3263	1337,21	
2,34626	1349,67	
2,35956	1358,01	
2,37291	1366,32	
2,38627	1374,59	
2,39957	1382,83	
2,41292	1391,1	
2,42623	1399,24	
2,43958	1407,35	
2,45373	1416,05	
2,46624	1423,73	
2,47959	1431,9	
2,49294	1440,21	
2,50624	1448,38	
2,5196	1456,52	
2,53295	1464,73	
2,54625	1472,9	
2,55956	1481,01	
2,57291	1489,32	
2,58626	1497,46	
2,60622	1509,52	
2,61957	1517,56	
2,63292	1525,67	
2,64628	1533,78	
2,65963	1541,82	
2,67293	1549,86	
2,68628	1557,93	
2,69959	1566,04	
2,71294	1574,25	
2,7262	1582,26	
2,74625	1594,29	
2,7596	1602,36	
2,77291	1610,34	
2,78631	1618,25	
2,79961	1626,16	
2,81291	1633,97	
2,82622	1641,88	
2,84037	1650,28	
2,85297	1657,73	
2,86628	1665,74	
2,87963	1673,59	
2,89293	1681,5	
2,90624	1689,44	
2,91954	1697,28	
2,93289	1705,09	
2,94625	1712,94	
2,9596	1720,85	
2,9738	1729,12	
2,9863	1736,5	
2,99961	1744,25	
3,01291	1751,96	
3,02626	1759,74	
3,03957	1767,52	
3,05287	1775,26	
3,06627	1783,04	
3,07962	1790,78	
3,09293	1798,53	
3,10623	1806,27	
3,11959	1813,92	
3,13959	1825,32	
3,15294	1832,94	
3,16629	1840,55	
3,1796	1848,07	
3,1929	1855,58	
3,20621	1863,19	
3,21956	1870,77	
3,23376	1878,78	
3,24626	1885,84	
3,25957	1893,38	
3,27292	1900,77	
3,28627	1908,28	
3,29953	1915,66	
3,31293	1923,08	
3,32628	1930,46	
3,33959	1937,88	
3,35959	1948,85	
3,37289	1956,23	
3,38625	1963,52	
3,39955	1970,8	
3,4129	1978,05	
3,42625	1985,34	
3,43961	1992,55	
3,45296	1999,67	
3,46626	2006,83	
3,47957	2013,88	
3,49957	2024,56	
3,51297	2031,64	
3,52628	2038,63	
3,53958	2045,65	
3,55293	2052,64	
3,56629	2059,49	
3,57959	2066,38	
3,59289	2073,27	
3,61295	2083,45	
3,62625	2090,11	
3,6396	2096,83	
3,65295	2103,46	
3,66626	2110,05	
3,67956	2116,64	
3,69292	2123,2	
3,70622	2129,66	
3,72047	2136,58	
3,73292	2142,58	
3,74628	2148,91	
3,75953	2155,17	
3,77284	2161,27	
3,78624	2167,4	
3,79959	2173,43	
3,81294	2179,53	
3,82629	2185,56	
3,83965	2191,49	
3,8529	2197,29	
3,86626	2203,03	
3,87956	2208,66	
3,89291	2214,33	
3,90626	2219,8	
3,91962	2225,21	
3,93292	2230,48	
3,94627	2235,52	
3,95953	2240,53	
